Test angle: 90
Node_A_151 coordinates: initialX | initialY | initialZ 
75.0000 | 0.0000 | 0.0000 | 
Node_B_1051 coordinates: initialX | initialY | initialZ 
-75.0000 | 0.0000 | 0.0000 | 
Node_C_606 coordinates: initialX | initialY | initialZ 
0.0000 | 5.0000 | 0.0000 | 
Node_D_1256 coordinates: initialX | initialY | initialZ 
0.0000 | -5.0000 | 0.0000 | 
  UA1  |  UA2  |  UA3 | UB1 | UB2 | UB3 | UC1 | UC2 | UC3 | UD1 | UD2 | UD3 
7.9128 | -0.0061 | -0.0000 | 1.4361 | -0.0054 | -0.0000 | 4.6745 | -0.0838 | 0.0000 | 4.6744 | 0.0724 | -0.0000 | 
7.9895 | -0.0061 | 0.0000 | 1.4499 | -0.0054 | -0.0000 | 4.7197 | -0.0846 | 0.0000 | 4.7197 | 0.0731 | -0.0000 | 
8.0661 | -0.0061 | -0.0000 | 1.4638 | -0.0054 | 0.0000 | 4.7650 | -0.0853 | 0.0000 | 4.7649 | 0.0738 | -0.0000 | 
8.1428 | -0.0061 | -0.0000 | 1.4776 | -0.0054 | 0.0000 | 4.8102 | -0.0861 | 0.0000 | 4.8102 | 0.0746 | -0.0000 | 
8.2195 | -0.0061 | -0.0000 | 1.4915 | -0.0054 | -0.0000 | 4.8555 | -0.0868 | 0.0000 | 4.8555 | 0.0753 | -0.0000 | 
8.2962 | -0.0061 | -0.0000 | 1.5053 | -0.0055 | -0.0000 | 4.9008 | -0.0876 | 0.0000 | 4.9007 | 0.0760 | -0.0000 | 
8.3728 | -0.0061 | -0.0000 | 1.5191 | -0.0055 | 0.0000 | 4.9460 | -0.0883 | 0.0000 | 4.9460 | 0.0767 | -0.0000 | 
8.4495 | -0.0061 | -0.0000 | 1.5330 | -0.0055 | 0.0000 | 4.9913 | -0.0891 | 0.0000 | 4.9912 | 0.0775 | -0.0000 | 
8.5262 | -0.0062 | 0.0000 | 1.5468 | -0.0055 | -0.0000 | 5.0365 | -0.0898 | 0.0000 | 5.0365 | 0.0782 | -0.0000 | 
8.6029 | -0.0062 | 0.0000 | 1.5606 | -0.0055 | 0.0000 | 5.0818 | -0.0906 | 0.0000 | 5.0817 | 0.0789 | -0.0000 | 
8.6796 | -0.0062 | -0.0000 | 1.5745 | -0.0055 | -0.0000 | 5.1270 | -0.0913 | 0.0000 | 5.1270 | 0.0797 | -0.0000 | 
8.7563 | -0.0062 | 0.0000 | 1.5883 | -0.0055 | -0.0000 | 5.1723 | -0.0921 | 0.0000 | 5.1723 | 0.0804 | -0.0000 | 
8.8330 | -0.0062 | -0.0000 | 1.6021 | -0.0055 | 0.0000 | 5.2176 | -0.0928 | 0.0000 | 5.2175 | 0.0811 | -0.0000 | 
8.9097 | -0.0062 | 0.0000 | 1.6159 | -0.0055 | -0.0000 | 5.2628 | -0.0936 | 0.0000 | 5.2628 | 0.0818 | -0.0000 | 
8.9863 | -0.0062 | -0.0000 | 1.6298 | -0.0055 | 0.0000 | 5.3081 | -0.0943 | 0.0000 | 5.3080 | 0.0825 | -0.0000 | 
9.0630 | -0.0063 | -0.0000 | 1.6436 | -0.0055 | 0.0000 | 5.3533 | -0.0951 | 0.0000 | 5.3533 | 0.0833 | -0.0000 | 
9.1397 | -0.0063 | -0.0000 | 1.6574 | -0.0055 | 0.0000 | 5.3986 | -0.0958 | 0.0000 | 5.3985 | 0.0840 | -0.0000 | 
9.2164 | -0.0063 | -0.0000 | 1.6712 | -0.0055 | -0.0000 | 5.4438 | -0.0965 | 0.0000 | 5.4438 | 0.0847 | -0.0000 | 
9.2931 | -0.0063 | 0.0000 | 1.6850 | -0.0055 | 0.0000 | 5.4891 | -0.0973 | 0.0000 | 5.4891 | 0.0854 | -0.0000 | 
9.3698 | -0.0063 | -0.0000 | 1.6988 | -0.0055 | 0.0000 | 5.5344 | -0.0980 | 0.0000 | 5.5343 | 0.0862 | -0.0000 | 
9.4465 | -0.0063 | -0.0000 | 1.7127 | -0.0056 | 0.0000 | 5.5796 | -0.0988 | 0.0000 | 5.5796 | 0.0869 | -0.0000 | 
9.5232 | -0.0064 | -0.0000 | 1.7265 | -0.0056 | 0.0000 | 5.6249 | -0.0995 | 0.0000 | 5.6248 | 0.0876 | -0.0000 | 
9.5999 | -0.0064 | -0.0000 | 1.7403 | -0.0056 | 0.0000 | 5.6701 | -0.1003 | 0.0000 | 5.6701 | 0.0883 | -0.0000 | 
9.6767 | -0.0064 | 0.0000 | 1.7541 | -0.0056 | -0.0000 | 5.7154 | -0.1010 | 0.0000 | 5.7153 | 0.0891 | -0.0000 | 
9.7534 | -0.0064 | 0.0000 | 1.7679 | -0.0056 | -0.0000 | 5.7606 | -0.1018 | 0.0000 | 5.7606 | 0.0898 | -0.0000 | 
9.8301 | -0.0064 | -0.0000 | 1.7817 | -0.0056 | 0.0000 | 5.8059 | -0.1025 | 0.0000 | 5.8058 | 0.0905 | -0.0000 | 
9.9068 | -0.0064 | -0.0000 | 1.7954 | -0.0056 | 0.0000 | 5.8512 | -0.1032 | 0.0000 | 5.8511 | 0.0912 | -0.0000 | 
9.9835 | -0.0064 | 0.0000 | 1.8092 | -0.0056 | 0.0000 | 5.8964 | -0.1040 | 0.0000 | 5.8964 | 0.0919 | -0.0000 | 
10.0603 | -0.0064 | 0.0000 | 1.8230 | -0.0056 | -0.0000 | 5.9417 | -0.1047 | 0.0000 | 5.9416 | 0.0927 | -0.0000 | 
10.1370 | -0.0065 | 0.0000 | 1.8368 | -0.0056 | -0.0000 | 5.9869 | -0.1055 | 0.0000 | 5.9869 | 0.0934 | -0.0000 | 
10.2137 | -0.0065 | 0.0000 | 1.8506 | -0.0056 | 0.0000 | 6.0322 | -0.1062 | 0.0000 | 6.0321 | 0.0941 | -0.0000 | 
10.2905 | -0.0065 | 0.0000 | 1.8644 | -0.0056 | 0.0000 | 6.0774 | -0.1069 | 0.0000 | 6.0774 | 0.0948 | -0.0000 | 
10.3672 | -0.0065 | -0.0000 | 1.8782 | -0.0056 | -0.0000 | 6.1227 | -0.1077 | 0.0000 | 6.1226 | 0.0955 | -0.0000 | 
